City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,tanabi,-20.6264,-49.6492,21.12,97,100,2.57,BR,1674553082
340,kangaatsiaq,68.3065,-53.4641,-9.66,83,100,3.26,GL,1674553083
341,marawi,7.9986,124.2928,20.74,98,100,1.43,PH,1674553083
342,bathsheba,13.2167,-59.5167,25.34,73,20,8.23,BB,1674553084
343,ipixuna,-1.7625,-48.8043,22.36,98,100,1.11,BR,1674553085
344,kamenka,51.3223,42.7678,-2.6,62,87,2.07,RU,1674553086
345,atherton,53.5237,-2.4935,6.37,86,89,0.89,GB,1674553086
346,cockburn town,21.4612,-71.1419,25.33,68,0,6.37,TC,1674553087
347,klaksvik,62.2266,-6.589,8.51,88,100,14.01,FO,1674553012
348,jaciara,-15.9653,-54.9683,21.85,95,100,0.54,BR,1674553088
349,ranikhet,29.65,79.4167,8.67,59,75,2.67,IN,1674553089
350,kruisfontein,-34.0033,24.7314,22.16,53,95,10.14,ZA,1674553090
351,lompoc,34.6391,-120.4579,6.44,86,0,4.12,US,1674553091
352,hualmay,-11.0964,-77.6139,20.96,82,100,2.37,PE,1674553092
353,awallan,17.9244,121.913,21.06,95,89,3.46,PH,1674553093
354,belomorsk,64.5232,34.7668,-2.69,91,100,4.32,RU,1674553093
355,zagora,30.3484,-5.8365,11.99,38,0,3.33,MA,1674553094
356,keetmanshoop,-26.5833,18.1333,25.05,20,86,7.78,NA,1674553095
357,sayat,38.7839,63.8803,0.93,61,5,2.42,TM,1674553031
358,tandil,-37.3217,-59.1332,18.71,66,50,2.8,AR,1674553096
359,mabaruma,8.2,-59.7833,20.73,98,66,1.13,GY,1674553097
360,fowa,8.9167,6.4,35.64,11,23,1.02,NG,1674553098
